challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.9643,0.31045,0.19827,0.98208
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.90881,0.49555,0.31573,0.95333
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.9633,0.29027,0.17892,0.98158
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.89257,0.4958,0.31006,0.94479
t-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.9392,0.49301,0.30412,0.96934
t-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.84949,0.77444,0.49317,0.92204
t-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,88,50,0.1,1,12,3,0.5,0.90541,0.57882,0.38154,0.95238
t-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,88,50,0.1,1,12,3,0.5,0.62354,1.12552,0.83242,0.79736
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,342,100,0.3,1,3,3,0.5,0.84188,0.59407,0.42452,0.91843
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,342,100,0.3,1,3,3,0.5,0.57796,0.96492,0.72619,0.77202
t-A2A,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,346,100,0.3,1,3,5,0.5,0.81216,0.6088,0.43401,0.90142
t-A2A,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,346,100,0.3,1,3,5,0.5,0.50945,0.99029,0.74204,0.72083
t-A2A,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,298,100,0.3,0,3,5,0.5,0.81356,0.59222,0.41416,0.9021
t-A2A,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,298,100,0.3,0,3,5,0.5,0.51777,0.95583,0.74093,0.73577
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,343,100,0.3,1,3,3,1.0,0.86371,0.59916,0.42794,0.9301
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,343,100,0.3,1,3,3,1.0,0.63349,0.97757,0.75048,0.80288
t-C2C,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,70,100,0.1,1,6,5,0.5,0.89241,0.65721,0.44569,0.94524
t-C2C,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,70,100,0.1,1,6,5,0.5,0.66825,1.12584,0.83533,0.8243
t-A2A,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,62,100,0.1,1,6,1,0.5,0.82648,0.59033,0.4339,0.91038
t-A2A,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,62,100,0.1,1,6,1,0.5,0.66957,0.80281,0.59031,0.82131
t-A2A,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,230,100,0.2,1,12,1,0.5,0.8456,0.56948,0.41342,0.9201
t-A2A,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,230,100,0.2,1,12,1,0.5,0.68767,0.79627,0.57848,0.83221
t-C2C,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.93314,0.48571,0.29592,0.96623
t-C2C,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.83102,0.77092,0.48646,0.91194
