challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
t-A2A,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.73601,0.72819,0.54839,0.85789
t-A2A,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.6159,0.86517,0.64002,0.79043
t-F2F,Mordred,totallyrandom,mass,train,mean,none,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.77949,0.71153,0.51383,0.88289
t-F2F,Mordred,totallyrandom,mass,valid,mean,none,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.76038,0.74112,0.5303,0.87217
t-C2C,Mordred,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.83336,0.81642,0.55795,0.91288
t-C2C,Mordred,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.77136,0.9549,0.64293,0.87979
t-F2F,Mordred,totallyrandom,molar,train,mean,none,none,taxprop-migrate2,exp-dropfirst,True,6,0.00016,0.80871,0.71863,0.52047,0.89928
t-F2F,Mordred,totallyrandom,molar,valid,mean,none,none,taxprop-migrate2,exp-dropfirst,True,6,0.00016,0.79469,0.74389,0.53539,0.89158
t-C2C,Mordred,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.80903,0.82112,0.56342,0.89946
t-C2C,Mordred,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.74036,0.95578,0.64485,0.86258
t-C2C,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.72877,1.04366,0.76553,0.85366
t-C2C,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.58049,1.27073,0.95968,0.78218
t-C2C,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.6532,1.10866,0.82066,0.8082
t-C2C,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.53119,1.26419,0.95985,0.74231
t-A2A,Mordred,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.66783,0.8114,0.62365,0.81683
t-A2A,Mordred,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.4023,1.08529,0.8667,0.65954
t-F2F,Mordred,occurrence,mass,train,mean,none,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.60765,0.93559,0.6994,0.77946
t-F2F,Mordred,occurrence,mass,valid,mean,none,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.4856,1.06456,0.81787,0.7095
t-A2A,Mordred,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.65733,0.80565,0.6187,0.81047
t-A2A,Mordred,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.41605,1.04319,0.8284,0.66601
t-F2F,Mordred,occurrence,molar,train,mean,none,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.66768,0.93543,0.6993,0.81708
t-F2F,Mordred,occurrence,molar,valid,mean,none,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.55554,1.07409,0.82642,0.75501
