challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
s-F2F-3,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.95833,0.31668,0.20858,0.97915
s-F2F-3,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.55647,0.99723,0.77248,0.76551
s-F2F-3,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.96157,0.32223,0.21307,0.98086
s-F2F-3,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.89333,0.5358,0.35761,0.94546
s-F2F-3,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.9553,0.3232,0.21361,0.97771
s-F2F-3,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.8768,0.53562,0.35908,0.93671
s-F2F-3,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.95853,0.31596,0.20763,0.97922
s-F2F-3,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.52182,1.03495,0.81916,0.75099
s-F2F-3,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,96,50,100,sqrt,1.0,1,2,0.96352,0.31836,0.20913,0.9817
s-F2F-3,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,96,50,100,sqrt,1.0,1,2,0.5763,1.04359,0.81483,0.78236
s-F2F-3,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.95557,0.32221,0.21371,0.97791
s-F2F-3,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.8755,0.53841,0.35969,0.93601
s-F2F-3,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96161,0.32205,0.21363,0.98094
s-F2F-3,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.89273,0.53727,0.35873,0.94518
s-F2F-3,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.93948,0.38201,0.26126,0.96999
s-F2F-3,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,84,50,100,sqrt,0.5,1,2,0.55197,0.99968,0.78346,0.75977
s-F2F-3,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,160,50,200,sqrt,0.5,1,5,0.93399,0.42866,0.29766,0.96729
s-F2F-3,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,160,50,200,sqrt,0.5,1,5,0.58766,1.02716,0.80906,0.78525
s-F2F-3,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96183,0.32111,0.21315,0.98103
s-F2F-3,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.89282,0.53715,0.36012,0.94522
s-F2F-3,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.95587,0.32112,0.21316,0.97809
s-F2F-3,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.87623,0.53693,0.35991,0.93647
s-F2F-3,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.95823,0.31707,0.20929,0.9791
s-F2F-3,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,170,150,200,sqrt,1.0,1,2,0.54611,1.00824,0.78334,0.75962
s-F2F-3,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,156,50,200,sqrt,0.5,1,2,0.9477,0.38152,0.26092,0.97408
s-F2F-3,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,156,50,200,sqrt,0.5,1,2,0.59373,1.01871,0.79309,0.78671
s-F2F-3,mol2vec,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.95484,0.32486,0.21549,0.97756
s-F2F-3,mol2vec,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.86761,0.55499,0.3668,0.93179
s-F2F-3,mol2vec,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.96056,0.32641,0.21641,0.9804
s-F2F-3,mol2vec,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,98,150,100,sqrt,1.0,1,2,0.88588,0.55429,0.36742,0.94151
s-F2F-3,mol2vec,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,34,150,50,sqrt,1.0,1,10,0.94012,0.38005,0.26438,0.97001
s-F2F-3,mol2vec,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,34,150,50,sqrt,1.0,1,10,0.52271,1.03894,0.78945,0.75169
s-F2F-3,mol2vec,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.96319,0.3198,0.21059,0.98159
s-F2F-3,mol2vec,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,25,100,50,sqrt,1.0,1,2,0.5869,1.03586,0.79266,0.7872
