challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
s-C2C,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,11,0.00158,0.72179,0.9249,0.64668,0.85074
s-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.82295,0.78823,0.55223,0.90716
s-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.75207,0.92927,0.64419,0.86873
s-C2C,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,13,0.00398,0.80356,0.82065,0.58199,0.8964
s-C2C,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,13,0.00398,0.6278,1.11597,0.82931,0.80092
s-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,13,0.00398,0.77781,0.8189,0.58023,0.88192
s-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,13,0.00398,0.58591,1.10617,0.8253,0.77514
s-C2C,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.76237,0.91321,0.66116,0.87313
s-C2C,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.72806,0.97464,0.70417,0.85403
s-C2C,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.73156,0.91159,0.66078,0.8553
s-C2C,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,8,0.0004,0.69288,0.97266,0.70358,0.83331
s-C2C,ToxPrint,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.7218,0.97686,0.70713,0.84958
s-C2C,ToxPrint,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.62138,1.12687,0.84273,0.79144
s-C2C,ToxPrint,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.68568,0.97424,0.70479,0.82805
s-C2C,ToxPrint,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,15,0.01,0.57472,1.12219,0.83906,0.76162
